store_id,uptime_last_week,downtime_last_week
1714874130169154334,106:53:57,00:00:00
1714909675947238649,14:02:06,100:25:14
1717354747111733204,43:29:51,74:07:53
1717823838579260660,108:58:39,11:44:12
1732632491522195965,106:46:39,00:00:00
1738942186324521371,108:30:09,00:00:16
1741127706197624914,108:42:12,10:34:54
1741793936337223676,106:35:13,01:01:17
1742694860165574081,70:34:17,02:52:02
1743799994211835904,83:49:12,00:00:00
1745578335553912538,07:22:16,38:54:11
1753132533946611543,23:13:53,03:43:54
1755174405666566356,128:27:22,01:03:02
1757431698014562713,02:03:58,40:54:09
1758927580116269084,78:41:34,28:19:24
1759040210299471913,33:38:01,21:24:40
1763214418271605628,28:06:18,14:48:17
1769441067774211407,29:08:12,21:42:51
1771730855623921617,07:02:33,79:01:01
1773682653288381853,106:46:29,06:04:59
1776249176220078525,61:02:51,09:57:22
1777282730371939903,108:56:28,01:03:19
1782484162898732209,112:56:46,00:00:00
1785187966167085115,33:58:11,43:38:29
1787377969059037727,35:11:05,71:39:09
1787851773199583345,01:52:20,103:41:03
1793088119440091715,16:45:43,45:49:29
1795568582723410111,79:13:37,33:55:52
1801116365065971671,30:03:44,87:13:20
1807233216799182461,108:04:11,12:40:44
1812440283686244959,34:16:40,52:47:23
1812517191230394418,59:32:20,03:06:18
1814910282893643063,94:03:51,22:22:53
1815547208828599251,14:02:07,112:29:37
1816215248112665233,25:15:30,01:59:35
1818840863315629010,08:58:41,56:26:04
1820921194440625872,84:28:40,00:00:00
1830467144300580766,66:02:40,15:07:18
1833663820857322772,128:42:06,08:25:15
1834569743158088021,109:54:57,00:00:50
1838886190087406582,14:01:03,103:34:52
1839670048432732001,63:45:03,01:02:39
1844746250096089921,29:52:04,86:14:11
1846315626964143455,61:53:07,13:14:27
1847127385999438216,42:21:33,07:53:48
1847165866796783822,99:30:38,40:24:26
1850322837780194054,13:59:26,111:25:25
1852174922401096316,128:56:05,00:00:00
1855663948440140229,25:41:15,61:50:54
1862019665875235323,45:31:45,27:08:02
1864196757232352479,49:04:05,75:13:58
1876889384293276558,108:42:12,10:34:54
1884075052870390854,128:56:31,02:00:23
1884468051370103407,80:34:03,09:12:41
1885564393314507408,00:25:26,105:46:27
1889645933346439925,03:55:20,60:29:57
1898198222319616166,54:32:53,00:00:00
1903492784538685014,46:55:04,04:08:38
1904192676355612077,131:59:00,01:00:27
1904872343838360890,26:49:04,13:05:37
1914111996505024417,41:04:08,51:21:26
1919567607763993652,17:00:57,32:33:40
1921435320705701553,95:43:49,14:04:07
1921454076511895339,27:19:22,57:05:19
1922162786157540819,48:29:31,00:00:00
1925668359834157162,05:01:56,53:05:05
1928725903961286987,27:30:13,08:31:40
1935227182459261880,17:16:56,16:20:44
1936465942983532519,128:59:34,06:03:35
1937498001498491641,11:21:33,44:03:59
1937609286511387636,23:59:50,08:18:03
1937959217534068869,57:46:15,18:50:33
1940725575276828760,59:05:22,00:58:40
1946362634045717930,23:16:13,03:24:12
1951367257477778508,46:36:20,02:09:31
1954855880595620654,108:29:31,00:09:16
1966199464131461288,07:12:09,21:35:33
1977381859059574201,25:09:04,20:03:20
1983700099370257604,77:20:10,35:09:27
1988906444769228930,29:10:29,79:48:51
1992379269471434922,65:16:18,10:31:12
1993066625877875722,03:03:36,57:33:24
1994150584888533600,95:13:27,17:07:31
1994774673355885854,40:41:39,12:21:25
1994996095849096915,35:40:40,23:48:57
1996879667510324493,44:15:24,07:42:31
2003701149761575206,109:04:57,00:00:00
2010540582178762234,22:35:56,05:03:38
2010792655693358503,128:40:28,00:00:00
2013561676421083817,31:12:05,17:11:45
2016560800577268777,77:53:45,00:00:00
2016565369944499085,23:14:42,08:23:51
2026094295649558813,108:50:56,12:10:28
2032708175098835237,21:01:52,112:15:24
2035246497231353252,106:41:23,01:01:21
2037534754772153154,20:48:54,41:36:33
2038955937408404221,108:54:58,10:00:18
2039543042939469804,20:10:12,69:52:05
2040863368312364161,57:28:32,00:00:00
2044998118361987443,62:07:42,04:15:43
2046507257744621680,58:57:59,49:20:14
2052271361652984846,106:42:00,00:00:00
2053206129811489660,28:39:00,00:00:00
2057185168760768391,46:52:28,78:35:31
2060029028614849130,27:21:18,21:44:52
2063135322463582795,25:50:16,17:33:54
2064577456810792286,29:37:34,75:50:20
2069513608455411178,106:35:45,10:01:55
2070084895250132543,106:42:50,01:00:37
2071168386018579440,128:49:23,07:06:51
2071651191289585663,106:35:28,00:00:00
2073532731367406338,29:04:39,21:15:20
2074334215216754526,96:51:42,08:01:42
2074654362548399995,20:54:24,32:50:54
2081149492145277731,73:39:38,31:59:58
2082559439484903794,74:15:18,00:00:00
2085438966225996892,45:46:03,00:59:11
2088770151390257149,94:04:33,22:01:41
2093253001538706725,22:00:30,45:34:19
2093459406570130080,29:36:05,48:35:34
2099195835339228119,128:45:04,01:11:35
2100717057185555744,13:00:02,21:35:49
2102359227516493703,32:08:47,16:27:11
2107845511883729045,17:58:08,36:13:19
2109554170755296570,18:33:28,50:06:14
2113472381603228685,114:21:48,02:17:24
2116509435088993809,39:31:28,00:00:00
2123371985542925981,14:13:31,113:00:13
2123949206717031301,32:52:47,14:54:22
2135668498092449388,78:00:38,54:49:45
2136144943359177381,27:55:21,15:35:33
2138118330238270168,91:55:15,00:00:00
2141904638733388878,38:01:15,09:58:27
2144404441139574557,24:58:59,18:26:47
2148871559250130511,15:11:29,52:28:23
2150877963188136274,35:25:49,75:47:30
2155096412515981575,21:45:45,21:57:45
2155394004865416317,108:39:28,12:33:24
2159953063711618405,44:27:06,00:00:00
2161746609543758252,129:08:27,00:00:00
2164376018328569498,03:55:59,92:01:19
2164620397703010940,57:36:08,00:21:00
2167878327391165940,128:42:58,09:38:06
2171855151708857754,14:13:31,113:00:13
